Paulo Rocha;PT;PA;Ação civil nº 0029741-61.2007.4.01.3400 - TRF
Paulo Rocha;PT;PA;Inquérito nº 4449/2017 - STF
Cássio Cunha Lima;PSDB;PB;Inquérito nº 4.386/2017 - STF
José Maranhão;PMDB;PB;Ação civil pública nº 0020580-83.2014.815.2001 - TJ
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 4005/2015 - STF
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 3958/2015 - STF
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 4139/2015 - STF
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 3710/2013 - STF
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 3707/2013 - STF
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 3090/2011 - STF
Fernando Bezerra Coelho;PMDB;PE;Ação civil pública nº 0001250-14.2011.4.05.8308 - TRF
Fernando Bezerra Coelho;PMDB;PE;Ação civil pública nº 0000646-65.2003.8.17.1130 - TJ
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 4458/2017 - STF
Humberto Costa;PT;PE;Inquérito nº 3985/2015 - STF
Humberto Costa;PT;PE;Inquérito nº 4383/2017 - STF
Ciro Nogueira;PP;PI;Inquérito nº 3910/2014 - STF
Ciro Nogueira;PP;PI;Inquérito nº 3989/2015 - STF
Ciro Nogueira;PP;PI;Ação popular nº 0039272-79.2004.4.01.3400 - TRF
Ciro Nogueira;PP;PI;Ação civil nº 0005703-81.2014.4.01.4000 - TRF
Ciro Nogueira;PP;PI;Ação civil nº 0039259-80.2004.4.01.3400 - TRF
Ciro Nogueira;PP;PI;Inquérito nº 4407/2017 - STF
Elmano Férrer;PMDB;PI;Ação civil pública nº 0001666-75.2013.8.18.0140 - TJ
Gleisi Hoffmann;PT;PR;Inquérito nº 3979/2015 - STF
Gleisi Hoffmann;PT;PR;Inquérito nº nº 4.325/2017 - STF
Roberto Requião;PMDB;PR;Ação civil pública nº 2007.70.00.031462 - TRF
Roberto Requião;PMDB;PR;Ação civil pública nº 0002680-03.2015.8.16.0004 - TJ
Lindbergh Farias;PT;RJ;Inquérito nº 3988/2015 - STF
Lindbergh Farias;PT;RJ;Inquérito nº 3616/2013 - STF
Lindbergh Farias;PT;RJ;Inquérito nº 3595/2013 - STF
Lindbergh Farias;PT;RJ;Inquérito nº 3390/2011 - STF
Lindbergh Farias;PT;RJ;Inquérito nº 3334/2011 - STF
Lindbergh Farias;PT;RJ;Inquérito nº 3124/2011 - STF
Lindbergh Farias;PT;RJ;Ação civil de improbidade administrativa nº 0022162-35.2015.4.02.5120 - TRF
Lindbergh Farias;PT;RJ;Ação civil pública nº 0016132-91.2015.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil pública nº 0011915-05.2015.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil pública nº 0013922-67.2015.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil de improbidade administrativa nº 0044377-54.2011.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil de improbidade administrativa nº 0004561-02.2010.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil de improbidade administrativa nº 0016201-02.2010.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil de improbidade administrativa nº 0055893-08.2010.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil pública nº 0020064-63.2010.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil de improbidade administrativa nº 0056748-21.2009.8.19.0038- - TJ
Lindbergh Farias;PT;RJ;Ação civil pública nº 0044322-79.2006.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Inquérito nº 4415/2017 - STF
José Agripino;DEM;RN;Inquérito nº 4141/2015 - STF
José Agripino;DEM;RN;Inquérito nº 4184/2015 - STF
Ivo Cassol;PP;RO;Ação penal nº 565/2011 - STF
Ivo Cassol;PP;RO;Ação penal nº 562/2011 - STF
Ivo Cassol;PP;RO;Inquérito nº 2828/2009 - STF
Ivo Cassol;PP;RO;Inquérito nº 3614/2013 - STF
Ivo Cassol;PP;RO;Inquérito nº 3742/2013 - STF
Ivo Cassol;PP;RO;Inquérito nº 3820/2014 - STF
Ivo Cassol;PP;RO;Ação civil pública nº 0002458-29.2009.4.01.4100 - TRF
Ivo Cassol;PP;RO;Ação civil pública nº 000261011.2008.4.01.4101. - TRF
